1177,607
2799,8028
3122,3848
7622,5507
4501,4747
1899,6651
1140,8694
7418,1671
1508,7135
7708,3518
2499,5818
1823,2867
6569,744
2671,922
1172,5086
1483,3537
6290,3374
3202,995
8527,9519
938,4693
7604,8629
9086,7189
2977,1224
7645,344
3943,5426
3577,8439
5390,2167
4653,4718
107,6686
4054,3101
6916,712
1009,5805
7469,7623
1391,2576
1171,422
2424,3382
4683,5684
1338,3814
4978,6033
6761,9912
3437,5668
2984,2311
801,7016
4751,5467
6892,1929
3184,3674
2542,5801
2668,1412
7754,3598
5109,6133
2441,1875
399,6206
1979,2080
4457,3600
7184,9450
6948,753
1158,4323
1975,9020
4443,7600
5016,8025
1410,569
658,2735
3301,5644
7550,6790
1417,1469
1093,4223
2532,887
547,5617
4189,1686
2841,5451
371,3614
7166,6303
6735,8763
2217,4003
4880,9315
5006,913
4222,7778
5173,6316
5812,8850
1064,9186
8794,771
2978,9556
651,7255
6582,2807
4540,6408
5408,1870
3415,6577
6089,568
7871,1723
1376,1670
5760,5592
6540,8210
5857,7348
986,1468
5252,5345
308,6803
489,4866
2274,5197
5598,4493
3488,5553
1104,3684
375,9125
1506,6318
3493,5612
4424,8928
7695,6393
4049,8933
7318,9876
2897,1156
7707,3761
4595,3239
7443,5241
2226,2644
2322,9229
7569,869
1098,2677
413,1418
4346,2229
6462,1457
1206,187
7462,1596
121,8622
3669,4045
2480,8935
104,6488
2259,9652
4818,4706
3595,1013
282,6521
2559,4262
6713,9079
7547,8385
6532,7029
4723,3263
1102,8725
5673,600
3051,4476
5222,4289
7209,4572
2545,1644
7993,3412
2070,3896
5695,1175
4712,8246
5214,2965
488,5941
6750,7146
1980,7965
7064,6844
3844,2018
614,6175
2737,7023
167,5363
2444,2604
3856,6428
8960,6768
5925,3679
4313,1661
7540,120
3266,3326
6929,6047
3035,5704
6758,5065
3397,3155
7151,2561
7325,6902
980,6443
484,2525
1956,6778
2166,528
5139,289
2925,6685
7817,5320
6475,8412
683,7453
2089,485
6854,3837
5057,37
7597,8282
2609,3482
1880,2586
3574,9673
732,1030
2341,9674
2834,4947
5170,2712
1473,4418
5083,239
6332,9843
4070,3307
6858,5032
3255,1652
5309,5876
6163,5672
682,1500
3529,2800
2490,520
9619,9219
6637,6908
5101,768
7608,2486
5245,1880
1124,1477
3414,2356
245,4203
3443,8034
1357,4316
5102,6310
6923,6086
2728,636
7268,4031
2763,909
5794,245
7699,5190
436,3345
4810,2142
4165,6450
5162,5122
3618,9832
5786,8997
4726,4462
920,304
6973,2345
4575,1534
7250,9116
2646,8723
1688,6552
5814,8165
8244,3758
5021,9536
6135,3941
3553,7341
1612,6665
4725,5176
5310,2690
3405,8154
2497,257
6444,6817
8230,8270
3796,6422
3464,6325
510,90
6782,7474
6090,2967
9004,637
6914,7050
3541,5881
8896,3247
350,5208
6424,2625
3686,8988
2063,5112
223,6813
4902,327
93,6671
1692,3771
1718,3193
1036,1619
4529,6471
5313,1353
4318,1209
4412,8378
2617,7300
2882,188
8171,9277
332,1655
1443,6009
2939,9313
3873,3513
1377,9106
3044,3662
2415,3895
5189,2425
4423,7107
7943,4280
942,9126
588,9636
7764,1365
3121,4982
2022,5914
5398,9649
4152,4217
2087,3876
3877,2995
2465,4221
1360,5806
34,4184
2536,4992
3473,1446
4947,8180
6867,8916
8634,2637
1051,7247
4401,2155
1182,1856
326,3729
644,5957
6387,2629
2134,2264
6784,4256
2838,6125
198,4536
8274,2322
6256,222
268,1236
1112,7584
7206,7553
81,3030
5718,9694
530,8510
555,3548
7183,4033
1342,4614
1325,8111
5002,7212
5800,4936
140,796
3020,1485
3774,7450
411,4907
8720,7138
4748,4367
6005,7209
6967,2673
8235,2975
2723,3696
5192,6470
1137,6625
4247,6410
1652,6847
1315,595
2940,2749
7514,3004
1147,4610
7071,4066
1356,3935
155,1057
2045,2961
4510,5364
7760,4590
3461,2130
3888,2703
7568,8278
2349,6285
2409,5471
3853,2499
4047,5731
463,3393
1900,7015
264,6116
9510,1001
7037,1775
3083,5060
9271,3195
1490,9614
9842,1171
4580,8090
9182,4344
2137,7276
4182,3379
241,4717
5555,7492
4451,198
5576,7500
205,464
2153,1106
8307,6301
4571,3416
5009,1776
3087,5096
7900,437
3696,3419
625,3108
1368,4423
3011,2415
3638,3638
6097,826
5802,2705
654,6841
7560,1938
6555,6828
568,2034
7998,2798
4288,5618
9378,4044
5326,8984
4418,7215
8664,7116
794,9367
9108,8204
2601,3216
790,9123
4249,9303
1027,8770
2484,9028
2098,9425
5686,3782
4895,2996
2100,7373
7155,3767
1286,7566
6604,2120
5456,6376
7364,3186
212,5778
9703,4292
2005,1455
5345,9058
3881,5786
6982,8910
5589,9359
467,1647
3282,976
2091,3119
6232,6729
6631,5803
3168,9170
1896,3989
936,7039
5137,6948
2733,8706
5649,6215
6084,4615
6481,5131
3854,9707
7825,2281
6338,5189
2873,9913
9100,6601
2035,2618
6606,884
1607,3417
7195,5334
5489,8818
8522,6042
425,6255
97,2052
7711,22
176,4022
3911,4417
248,1230
5986,3969
5651,4508
2494,8609
9244,6740
5774,9111
3597,937
2831,6103
4892,9146
1168,774
2230,8408
3692,6328
6873,1758
54,9501
7339,3357
4832,5549
2538,3133
2996,1461
4119,8647
2741,7106
4168,93
1309,4488
7223,6317
1878,640
4658,7148
5279,4726
4239,5944
1532,9258
834,7242
1280,8686
2434,4412
5637,7083
5581,2071
2414,5761
4876,3607
2171,6810
6683,4023
357,5184
7411,3893
5414,4062
2453,4730
6372,7879
6639,5003
1466,9559
2674,5653
1849,6762
3229,9903
